Symbol,Applicable Step value,"No. of Strikes Provided
In the money - At the money - Out of the money",No of additional strikes which may be enabled intraday
AARTIIND,5,16 - 1 - 16,26
ABB,50,13 - 1 - 13,22
ABBOTINDIA,250,14 - 1 - 14,22
ABCAPITAL,2.5,11 - 1 - 11,17
ABFRL,2.5,13 - 1 - 13,21
ACC,20,14 - 1 - 14,24
ADANIENT,50,8 - 1 - 8,12
ADANIPORTS,10,12 - 1 - 12,18
ALKEM,20,20 - 1 - 20,48
AMBUJACEM,10,7 - 1 - 7,12
APOLLOHOSP,50,16 - 1 - 16,26
APOLLOTYRE,5,13 - 1 - 13,20
ASHOKLEY,1,20 - 1 - 20,43
ASIANPAINT,20,20 - 1 - 20,46
ASTRAL,20,15 - 1 - 15,25
ATUL,50,20 - 1 - 20,36
AUBANK,10,12 - 1 - 12,20
AUROPHARMA,10,11 - 1 - 11,17
AXISBANK,10,15 - 1 - 15,25
BAJAJ-AUTO,50,15 - 1 - 15,23
BAJAJFINSV,20,12 - 1 - 12,18
BAJFINANCE,50,20 - 1 - 20,38
BALKRISIND,20,18 - 1 - 18,29
BALRAMCHIN,5,12 - 1 - 12,20
BANDHANBNK,2.5,15 - 1 - 15,25
BANKBARODA,2.5,11 - 1 - 11,19
BATAINDIA,10,20 - 1 - 20,45
BEL,1,19 - 1 - 19,30
BERGEPAINT,5,20 - 1 - 20,34
BHARATFORG,10,13 - 1 - 13,20
BHARTIARTL,10,13 - 1 - 13,21
BHEL,1,13 - 1 - 13,21
BIOCON,2.5,15 - 1 - 15,24
BOSCHLTD,100,20 - 1 - 20,56
BPCL,5,12 - 1 - 12,19
BRITANNIA,50,15 - 1 - 15,25
BSOFT,5,11 - 1 - 11,16
CANBK,5,9 - 1 - 9,15
CANFINHOME,10,11 - 1 - 11,19
CHAMBLFERT,2.5,17 - 1 - 17,28
CHOLAFIN,10,17 - 1 - 17,28
CIPLA,10,15 - 1 - 15,25
COALINDIA,2.5,14 - 1 - 14,23
COFORGE,50,14 - 1 - 14,23
COLPAL,10,20 - 1 - 20,46
CONCOR,10,10 - 1 - 10,17
COROMANDEL,10,15 - 1 - 15,23
CROMPTON,2.5,18 - 1 - 18,29
CUB,1,19 - 1 - 19,31
CUMMINSIND,20,14 - 1 - 14,23
DABUR,5,18 - 1 - 18,28
DALBHARAT,20,17 - 1 - 17,29
DEEPAKNTR,20,17 - 1 - 17,26
DELTACORP,5,8 - 1 - 8,12
DIVISLAB,50,11 - 1 - 11,18
DIXON,50,14 - 1 - 14,23
DLF,5,15 - 1 - 15,25
DRREDDY,50,15 - 1 - 15,24
EICHERMOT,50,11 - 1 - 11,18
ESCORTS,20,17 - 1 - 17,27
EXIDEIND,2.5,13 - 1 - 13,21
FEDERALBNK,1,19 - 1 - 19,30
GAIL,1,17 - 1 - 17,26
GLENMARK,10,10 - 1 - 10,16
GMRINFRA,1,7 - 1 - 7,11
GNFC,10,9 - 1 - 9,15
GODREJCP,10,17 - 1 - 17,27
GODREJPROP,20,12 - 1 - 12,20
GRANULES,2.5,18 - 1 - 18,28
